Nutrient,Food class level 1,Avg (Concentration levels)
vitamin E; alpha-tocopherol equiv from E vitamer activities,Grains and grain-based products,1.43
vitamin E; alpha-tocopherol equiv from E vitamer activities,Human milk,0.32
vitamin E; alpha-tocopherol equiv from E vitamer activities,"Legumes, nuts, oilseeds and spices",4.6
vitamin E; alpha-tocopherol equiv from E vitamer activities,Meat and meat products,0.4
vitamin E; alpha-tocopherol equiv from E vitamer activities,Milk and dairy products,0.36
vitamin E; alpha-tocopherol equiv from E vitamer activities,"Products for non-standard diets, food imitates and food supplements or fortifying agents",1.1
vitamin E; alpha-tocopherol equiv from E vitamer activities,"Seasoning, sauces and condiments",1.94
vitamin E; alpha-tocopherol equiv from E vitamer activities,"Starchy roots or tubers and products thereof, sugar plants",0.41
vitamin E; alpha-tocopherol equiv from E vitamer activities,"Sugar, confectionery and water-based sweet desserts",1.55
vitamin E; alpha-tocopherol equiv from E vitamer activities,Vegetables and vegetable products,0.7
vitamin E; alpha-tocopherol equiv from E vitamer activities,Water and water-based beverages,0.06
vitamin K,"Additives,flavours, baking and processing aids",0
vitamin K,Alcoholic beverages,0.11
vitamin K,Animal and vegetable fats and oils,25.62
vitamin K,"Coffee, cocoa, tea and infusions",26.76
vitamin K,Composite dishes,9.79
vitamin K,Eggs and egg products,3.92
vitamin K,"Fish, seafood, amphibians, reptiles and invertebrates",0.57
vitamin K,Food products for young population,10.6
vitamin K,Fruit and fruit products,3.77
vitamin K,Fruit and vegetable juices and nectars,5.15
vitamin K,Grains and grain-based products,3.2
vitamin K,"Legumes, nuts, oilseeds and spices",9.46
vitamin K,Meat and meat products,7.77
vitamin K,Milk and dairy products,0.48
vitamin K,"Products for non-standard diets, food imitates and food supplements or fortifying agents",2.04
vitamin K,"Seasoning, sauces and condiments",6.86
vitamin K,"Starchy roots or tubers and products thereof, sugar plants",0.69
vitamin K,"Sugar, confectionery and water-based sweet desserts",0.99
vitamin K,Vegetables and vegetable products,63.36
vitamin K,Water and water-based beverages,0.92
Zinc (Zn),"Additives,flavours, baking and processing aids",1.2
Zinc (Zn),Alcoholic beverages,0.09
Zinc (Zn),Animal and vegetable fats and oils,0.14
Zinc (Zn),"Coffee, cocoa, tea and infusions",1.33
Zinc (Zn),Composite dishes,1.01
Zinc (Zn),Eggs and egg products,1.79
Zinc (Zn),"Fish, seafood, amphibians, reptiles and invertebrates",1.64
Zinc (Zn),Food products for young population,1.07
Zinc (Zn),Fruit and fruit products,0.22
Zinc (Zn),Fruit and vegetable juices and nectars,0.17
Zinc (Zn),Grains and grain-based products,1.45
Zinc (Zn),Human milk,0.3
Zinc (Zn),"Legumes, nuts, oilseeds and spices",2.57
Zinc (Zn),Meat and meat products,2.91
Zinc (Zn),Milk and dairy products,1.91
Zinc (Zn),"Products for non-standard diets, food imitates and food supplements or fortifying agents",1.21
Zinc (Zn),"Seasoning, sauces and condiments",0.65
Zinc (Zn),"Starchy roots or tubers and products thereof, sugar plants",0.47
Zinc (Zn),"Sugar, confectionery and water-based sweet desserts",0.64
Zinc (Zn),Vegetables and vegetable products,0.55
Zinc (Zn),Water and water-based beverages,0.03
